Model 0: acc=0.7428, loss=0.9440, units=32, dense=8, dropout=0.2, rec_dropout=0.0, lr=0.001
Model 1: acc=0.7411, loss=0.9462, units=32, dense=8, dropout=0.2, rec_dropout=0.0, lr=0.0005
Model 2: acc=0.7666, loss=0.8211, units=32, dense=8, dropout=0.2, rec_dropout=0.2, lr=0.001
Model 3: acc=0.7777, loss=0.8100, units=32, dense=8, dropout=0.2, rec_dropout=0.2, lr=0.0005
Model 4: acc=0.7304, loss=0.9585, units=32, dense=8, dropout=0.3, rec_dropout=0.0, lr=0.001
Model 5: acc=0.7325, loss=0.9542, units=32, dense=8, dropout=0.3, rec_dropout=0.0, lr=0.0005
Model 6: acc=0.7487, loss=0.8439, units=32, dense=8, dropout=0.3, rec_dropout=0.2, lr=0.001
Model 7: acc=0.7513, loss=0.8390, units=32, dense=8, dropout=0.3, rec_dropout=0.2, lr=0.0005
Model 8: acc=0.7462, loss=0.8919, units=32, dense=16, dropout=0.2, rec_dropout=0.0, lr=0.001
Model 9: acc=0.7551, loss=0.8857, units=32, dense=16, dropout=0.2, rec_dropout=0.0, lr=0.0005
Model 10: acc=0.7764, loss=0.8037, units=32, dense=16, dropout=0.2, rec_dropout=0.2, lr=0.001
Model 11: acc=0.7760, loss=0.7775, units=32, dense=16, dropout=0.2, rec_dropout=0.2, lr=0.0005
Model 12: acc=0.7547, loss=0.9027, units=32, dense=16, dropout=0.3, rec_dropout=0.0, lr=0.001
Model 13: acc=0.7602, loss=0.8991, units=32, dense=16, dropout=0.3, rec_dropout=0.0, lr=0.0005
Model 14: acc=0.7692, loss=0.8130, units=32, dense=16, dropout=0.3, rec_dropout=0.2, lr=0.001
Model 15: acc=0.7692, loss=0.7955, units=32, dense=16, dropout=0.3, rec_dropout=0.2, lr=0.0005
Model 16: acc=0.7543, loss=0.8809, units=32, dense=32, dropout=0.2, rec_dropout=0.0, lr=0.001
Model 17: acc=0.7606, loss=0.8653, units=32, dense=32, dropout=0.2, rec_dropout=0.0, lr=0.0005
Model 18: acc=0.7687, loss=0.7890, units=32, dense=32, dropout=0.2, rec_dropout=0.2, lr=0.001
Model 19: acc=0.7670, loss=0.7929, units=32, dense=32, dropout=0.2, rec_dropout=0.2, lr=0.0005
Model 20: acc=0.7585, loss=0.8559, units=32, dense=32, dropout=0.3, rec_dropout=0.0, lr=0.001
Model 21: acc=0.7577, loss=0.8857, units=32, dense=32, dropout=0.3, rec_dropout=0.0, lr=0.0005
Model 22: acc=0.7790, loss=0.7805, units=32, dense=32, dropout=0.3, rec_dropout=0.2, lr=0.001
Model 23: acc=0.7824, loss=0.7433, units=32, dense=32, dropout=0.3, rec_dropout=0.2, lr=0.0005
Model 24: acc=0.7355, loss=0.9797, units=64, dense=8, dropout=0.2, rec_dropout=0.0, lr=0.001
Model 25: acc=0.7466, loss=0.9266, units=64, dense=8, dropout=0.2, rec_dropout=0.0, lr=0.0005
Model 26: acc=0.7581, loss=0.8655, units=64, dense=8, dropout=0.2, rec_dropout=0.2, lr=0.001
Model 27: acc=0.7785, loss=0.8153, units=64, dense=8, dropout=0.2, rec_dropout=0.2, lr=0.0005
Model 28: acc=0.7210, loss=1.0121, units=64, dense=8, dropout=0.3, rec_dropout=0.0, lr=0.001
Model 29: acc=0.7534, loss=0.9027, units=64, dense=8, dropout=0.3, rec_dropout=0.0, lr=0.0005
Model 30: acc=0.0865, loss=3.2702, units=64, dense=8, dropout=0.3, rec_dropout=0.2, lr=0.001
Model 31: acc=0.7645, loss=0.8357, units=64, dense=8, dropout=0.3, rec_dropout=0.2, lr=0.0005
Model 32: acc=0.7440, loss=0.8923, units=64, dense=16, dropout=0.2, rec_dropout=0.0, lr=0.001
Model 33: acc=0.7555, loss=0.8884, units=64, dense=16, dropout=0.2, rec_dropout=0.0, lr=0.0005
Model 34: acc=0.7726, loss=0.8161, units=64, dense=16, dropout=0.2, rec_dropout=0.2, lr=0.001
Model 35: acc=0.7679, loss=0.7913, units=64, dense=16, dropout=0.2, rec_dropout=0.2, lr=0.0005
Model 36: acc=0.7504, loss=0.8908, units=64, dense=16, dropout=0.3, rec_dropout=0.0, lr=0.001
Model 37: acc=0.7683, loss=0.8417, units=64, dense=16, dropout=0.3, rec_dropout=0.0, lr=0.0005
Model 38: acc=0.7777, loss=0.7900, units=64, dense=16, dropout=0.3, rec_dropout=0.2, lr=0.001
Model 39: acc=0.7849, loss=0.7739, units=64, dense=16, dropout=0.3, rec_dropout=0.2, lr=0.0005
Model 40: acc=0.7653, loss=0.8528, units=64, dense=32, dropout=0.2, rec_dropout=0.0, lr=0.001
Model 41: acc=0.7628, loss=0.8345, units=64, dense=32, dropout=0.2, rec_dropout=0.0, lr=0.0005
Model 42: acc=0.7756, loss=0.8010, units=64, dense=32, dropout=0.2, rec_dropout=0.2, lr=0.001
Model 43: acc=0.7756, loss=0.7922, units=64, dense=32, dropout=0.2, rec_dropout=0.2, lr=0.0005
Model 44: acc=0.7717, loss=0.8432, units=64, dense=32, dropout=0.3, rec_dropout=0.0, lr=0.001
Model 45: acc=0.7700, loss=0.8111, units=64, dense=32, dropout=0.3, rec_dropout=0.0, lr=0.0005
Model 46: acc=0.7649, loss=0.8099, units=64, dense=32, dropout=0.3, rec_dropout=0.2, lr=0.001
Model 47: acc=0.7824, loss=0.7775, units=64, dense=32, dropout=0.3, rec_dropout=0.2, lr=0.0005
Model 48: acc=0.0865, loss=3.2703, units=96, dense=8, dropout=0.2, rec_dropout=0.0, lr=0.001
Model 49: acc=0.7419, loss=0.9282, units=96, dense=8, dropout=0.2, rec_dropout=0.0, lr=0.0005
Model 50: acc=0.0865, loss=3.2702, units=96, dense=8, dropout=0.2, rec_dropout=0.2, lr=0.001
Model 51: acc=0.7611, loss=0.8514, units=96, dense=8, dropout=0.2, rec_dropout=0.2, lr=0.0005
Model 52: acc=0.0865, loss=3.2703, units=96, dense=8, dropout=0.3, rec_dropout=0.0, lr=0.001
Model 53: acc=0.7513, loss=0.9225, units=96, dense=8, dropout=0.3, rec_dropout=0.0, lr=0.0005
Model 54: acc=0.0865, loss=3.2702, units=96, dense=8, dropout=0.3, rec_dropout=0.2, lr=0.001
Model 55: acc=0.7530, loss=0.8444, units=96, dense=8, dropout=0.3, rec_dropout=0.2, lr=0.0005
Model 56: acc=0.7402, loss=0.9389, units=96, dense=16, dropout=0.2, rec_dropout=0.0, lr=0.001
Model 57: acc=0.7619, loss=0.8453, units=96, dense=16, dropout=0.2, rec_dropout=0.0, lr=0.0005
Model 58: acc=0.7687, loss=0.8345, units=96, dense=16, dropout=0.2, rec_dropout=0.2, lr=0.001
Model 59: acc=0.7747, loss=0.8038, units=96, dense=16, dropout=0.2, rec_dropout=0.2, lr=0.0005
Model 60: acc=0.0865, loss=3.2703, units=96, dense=16, dropout=0.3, rec_dropout=0.0, lr=0.001
Model 61: acc=0.7653, loss=0.8828, units=96, dense=16, dropout=0.3, rec_dropout=0.0, lr=0.0005
Model 62: acc=0.0865, loss=3.2702, units=96, dense=16, dropout=0.3, rec_dropout=0.2, lr=0.001
Model 63: acc=0.7802, loss=0.7816, units=96, dense=16, dropout=0.3, rec_dropout=0.2, lr=0.0005
Model 64: acc=0.7466, loss=0.8717, units=96, dense=32, dropout=0.2, rec_dropout=0.0, lr=0.001
Model 65: acc=0.7602, loss=0.8636, units=96, dense=32, dropout=0.2, rec_dropout=0.0, lr=0.0005
Model 66: acc=0.7521, loss=0.8258, units=96, dense=32, dropout=0.2, rec_dropout=0.2, lr=0.001
Model 67: acc=0.7841, loss=0.7760, units=96, dense=32, dropout=0.2, rec_dropout=0.2, lr=0.0005
Model 68: acc=0.7589, loss=0.8749, units=96, dense=32, dropout=0.3, rec_dropout=0.0, lr=0.001
Model 69: acc=0.7649, loss=0.8343, units=96, dense=32, dropout=0.3, rec_dropout=0.0, lr=0.0005
Model 70: acc=0.7760, loss=0.7889, units=96, dense=32, dropout=0.3, rec_dropout=0.2, lr=0.001
Model 71: acc=0.7781, loss=0.7877, units=96, dense=32, dropout=0.3, rec_dropout=0.2, lr=0.0005
